Date,Time,pH,vat cleanout
8/31/2020,12:48:36,"4.89
",
8/31/2020,12:48:38,"5.19
",
8/31/2020,12:48:40,"5.26
",
8/31/2020,12:48:42,"5.29
",
8/31/2020,12:48:44,"5.35
",
8/31/2020,12:48:46,"5.35
",
8/31/2020,12:48:48,"5.41
",
8/31/2020,12:48:50,"5.47
",
8/31/2020,12:48:52,"5.46
",
8/31/2020,12:48:54,"5.60
",
8/31/2020,12:48:56,"5.48
",
8/31/2020,12:48:58,"5.51
",
8/31/2020,12:49:00,"5.59
",
8/31/2020,12:49:02,"5.65
",
8/31/2020,12:49:04,"5.62
",
8/31/2020,12:49:06,"5.65
",
8/31/2020,12:49:08,"5.62
",
8/31/2020,12:49:10,"5.69
",
8/31/2020,12:49:12,"6.86
",
8/31/2020,12:49:14,"6.86
",
8/31/2020,12:49:16,"6.82
",
8/31/2020,12:49:18,"6.96
",
8/31/2020,12:49:20,"6.95
",
8/31/2020,12:49:22,"6.94
",
8/31/2020,12:49:24,"6.93
",
