Date,Time,pH,cleanout by wall
8/31/2020,10:38:48 AM,0,
8/31/2020,10:38:48 AM,6.56,
8/31/2020,10:38:50 AM,6.55,
8/31/2020,10:38:52 AM,6.55,
8/31/2020,10:38:54 AM,6.54,
8/31/2020,10:38:56 AM,6.52,
8/31/2020,10:38:58 AM,6.53,
8/31/2020,10:39:00 AM,6.53,
8/31/2020,10:39:02 AM,6.53,
8/31/2020,10:39:04 AM,6.51,
8/31/2020,10:39:06 AM,6.5,
8/31/2020,10:39:08 AM,6.5,
8/31/2020,10:39:10 AM,6.49,
8/31/2020,10:39:12 AM,6.48,
8/31/2020,10:39:14 AM,6.43,
8/31/2020,10:39:16 AM,6.49,
8/31/2020,10:39:18 AM,6.5,
8/31/2020,10:39:20 AM,6.4,
8/31/2020,10:39:22 AM,6.44,
8/31/2020,10:39:24 AM,6.45,
8/31/2020,10:39:26 AM,6.44,
8/31/2020,10:39:28 AM,6.43,
8/31/2020,10:39:30 AM,6.43,
8/31/2020,10:39:32 AM,6.42,
8/31/2020,10:39:34 AM,6.77,
8/31/2020,10:39:36 AM,6.47,
8/31/2020,10:39:38 AM,6.43,
8/31/2020,10:39:40 AM,6.41,
8/31/2020,10:39:42 AM,6.35,
8/31/2020,10:39:44 AM,6.41,
8/31/2020,10:39:46 AM,6.41,
8/31/2020,10:39:48 AM,6.41,
8/31/2020,10:39:50 AM,6.41,
8/31/2020,10:39:52 AM,6.44,
8/31/2020,10:39:54 AM,6.41,
8/31/2020,10:39:56 AM,6.4,
8/31/2020,10:39:58 AM,6.38,
8/31/2020,10:40:00 AM,6.43,
8/31/2020,10:40:02 AM,6.41,
8/31/2020,10:40:04 AM,6.41,
8/31/2020,10:40:06 AM,6.4,
8/31/2020,10:40:08 AM,6.41,
8/31/2020,10:40:10 AM,6.4,
8/31/2020,10:40:12 AM,6.4,
8/31/2020,10:40:14 AM,6.4,
8/31/2020,10:40:16 AM,6.38,
8/31/2020,10:40:18 AM,6.4,
8/31/2020,10:40:20 AM,6.39,
8/31/2020,10:40:22 AM,6.37,
8/31/2020,10:40:24 AM,6.41,
8/31/2020,10:40:26 AM,6.42,
8/31/2020,10:40:28 AM,6.38,
8/31/2020,10:40:30 AM,6.37,
8/31/2020,10:40:32 AM,6.38,
8/31/2020,10:40:34 AM,6.38,
8/31/2020,10:40:36 AM,6.38,
8/31/2020,10:40:38 AM,6.38,
8/31/2020,10:40:40 AM,6.38,
8/31/2020,10:40:42 AM,6.38,
8/31/2020,10:40:44 AM,6.38,
8/31/2020,10:40:46 AM,6.38,
8/31/2020,10:40:48 AM,6.38,
8/31/2020,10:40:50 AM,6.37,
8/31/2020,10:40:52 AM,6.39,
8/31/2020,10:40:54 AM,6.38,
8/31/2020,10:40:56 AM,6.42,
8/31/2020,10:40:58 AM,6.38,
8/31/2020,10:41:00 AM,6.41,
8/31/2020,10:41:02 AM,6.33,
8/31/2020,10:41:04 AM,6.44,
8/31/2020,10:41:06 AM,6.4,
8/31/2020,10:41:08 AM,6.38,
8/31/2020,10:41:10 AM,6.34,
8/31/2020,10:41:12 AM,6.32,
8/31/2020,10:41:14 AM,6.47,
8/31/2020,10:41:16 AM,6.37,
8/31/2020,10:41:18 AM,6.35,
8/31/2020,10:41:20 AM,6.4,
8/31/2020,10:41:22 AM,6.37,
8/31/2020,10:41:24 AM,6.35,
8/31/2020,10:41:26 AM,6.44,
8/31/2020,10:41:28 AM,6.46,
8/31/2020,10:41:30 AM,6.32,
8/31/2020,10:41:32 AM,6.34,
8/31/2020,10:41:34 AM,6.35,
8/31/2020,10:41:36 AM,6.35,
8/31/2020,10:41:38 AM,6.35,
8/31/2020,10:41:40 AM,6.35,
8/31/2020,10:41:42 AM,6.35,
8/31/2020,10:41:44 AM,6.36,
8/31/2020,10:41:46 AM,6.37,
8/31/2020,10:41:48 AM,6.37,
8/31/2020,10:41:50 AM,6.36,
8/31/2020,10:41:52 AM,6.31,
8/31/2020,10:41:54 AM,6.32,
8/31/2020,10:41:56 AM,6.35,
