Date,Time,pH,vat cleanout
8/31/2020,10:48:22 AM,6.8,
8/31/2020,10:48:24 AM,6.86,
8/31/2020,10:48:26 AM,6.83,
8/31/2020,10:48:29 AM,6.83,
8/31/2020,10:48:31 AM,6.86,
8/31/2020,10:48:33 AM,6.8,
8/31/2020,10:48:35 AM,6.81,
8/31/2020,10:48:37 AM,6.83,
8/31/2020,10:48:39 AM,6.85,
8/31/2020,10:48:41 AM,6.89,
8/31/2020,10:48:43 AM,6.83,
8/31/2020,10:48:45 AM,6.84,
8/31/2020,10:48:47 AM,6.82,
8/31/2020,10:48:49 AM,6.83,
8/31/2020,10:48:51 AM,6.83,
8/31/2020,10:48:53 AM,6.82,
8/31/2020,10:48:55 AM,6.83,
8/31/2020,10:48:57 AM,6.83,
8/31/2020,10:48:59 AM,6.83,
8/31/2020,10:49:01 AM,6.87,
8/31/2020,10:49:03 AM,6.89,
8/31/2020,10:49:05 AM,6.83,
8/31/2020,10:49:07 AM,6.78,
8/31/2020,10:49:09 AM,6.78,
8/31/2020,10:49:11 AM,6.8,
8/31/2020,10:49:13 AM,6.83,
8/31/2020,10:49:15 AM,6.86,
8/31/2020,10:49:17 AM,6.89,
8/31/2020,10:49:19 AM,6.92,
8/31/2020,10:49:21 AM,6.95,
8/31/2020,10:49:23 AM,7.01,
8/31/2020,10:49:25 AM,7.03,
8/31/2020,10:49:27 AM,7.08,
8/31/2020,10:49:29 AM,7.12,
8/31/2020,10:49:31 AM,7.15,
8/31/2020,10:49:33 AM,7.15,
8/31/2020,10:49:35 AM,7.02,
8/31/2020,10:49:37 AM,7.07,
8/31/2020,10:49:39 AM,7.22,
8/31/2020,10:49:41 AM,7.24,
8/31/2020,10:49:43 AM,7.32,
8/31/2020,10:49:45 AM,7.27,
8/31/2020,10:49:47 AM,7.26,
8/31/2020,10:49:49 AM,7.29,
8/31/2020,10:49:51 AM,7.3,
8/31/2020,10:49:53 AM,7.3,
8/31/2020,10:49:55 AM,7.31,
8/31/2020,10:49:57 AM,7.32,
8/31/2020,10:49:59 AM,7.33,
