Date,Time,pH,vat cleanout
8/31/2020,10:44:20 AM,0,
8/31/2020,10:44:20 AM,6.44,
8/31/2020,10:44:22 AM,6.62,
8/31/2020,10:44:24 AM,6.59,
8/31/2020,10:44:26 AM,6.59,
8/31/2020,10:44:28 AM,6.59,
8/31/2020,10:44:30 AM,6.99,
8/31/2020,10:44:32 AM,6.77,
8/31/2020,10:44:34 AM,6.77,
8/31/2020,10:44:36 AM,6.86,
8/31/2020,10:44:38 AM,6.77,
8/31/2020,10:44:40 AM,6.8,
8/31/2020,10:44:42 AM,6.75,
8/31/2020,10:44:44 AM,6.78,
8/31/2020,10:44:46 AM,6.71,
8/31/2020,10:44:48 AM,6.68,
8/31/2020,10:44:50 AM,6.73,
8/31/2020,10:44:52 AM,6.74,
8/31/2020,10:44:54 AM,6.69,
8/31/2020,10:44:56 AM,6.61,
8/31/2020,10:44:58 AM,6.71,
8/31/2020,10:45:00 AM,6.52,
8/31/2020,10:45:02 AM,6.62,
8/31/2020,10:45:04 AM,6.37,
8/31/2020,10:45:06 AM,6.37,
8/31/2020,10:45:08 AM,6.41,
8/31/2020,10:45:10 AM,6.5,
8/31/2020,10:45:12 AM,6,
8/31/2020,10:45:14 AM,6.13,
8/31/2020,10:45:16 AM,6.11,
8/31/2020,10:45:18 AM,6.65,
8/31/2020,10:45:20 AM,6.8,
8/31/2020,10:45:22 AM,6.83,
8/31/2020,10:45:24 AM,6.85,
8/31/2020,10:45:26 AM,6.87,
8/31/2020,10:45:28 AM,6.89,
8/31/2020,10:45:30 AM,6.89,
8/31/2020,10:45:32 AM,6.92,
8/31/2020,10:45:34 AM,6.93,
8/31/2020,10:45:36 AM,6.95,
8/31/2020,10:45:38 AM,6.95,
8/31/2020,10:45:40 AM,6.94,
8/31/2020,10:45:42 AM,6.9,
8/31/2020,10:45:44 AM,6.87,
8/31/2020,10:45:46 AM,6.77,
8/31/2020,10:45:48 AM,6.71,
8/31/2020,10:45:50 AM,6.82,
8/31/2020,10:45:52 AM,6.86,
8/31/2020,10:45:54 AM,6.86,
8/31/2020,10:45:56 AM,6.86,
8/31/2020,10:45:58 AM,6.86,
8/31/2020,10:46:00 AM,6.87,
8/31/2020,10:46:02 AM,6.87,
8/31/2020,10:46:04 AM,6.9,
8/31/2020,10:46:06 AM,6.88,
8/31/2020,10:46:08 AM,6.89,
8/31/2020,10:46:10 AM,6.86,
8/31/2020,10:46:12 AM,6.88,
8/31/2020,10:46:14 AM,6.88,
8/31/2020,10:46:16 AM,6.89,
8/31/2020,10:46:18 AM,6.89,
8/31/2020,10:46:20 AM,6.86,
8/31/2020,10:46:22 AM,6.87,
8/31/2020,10:46:24 AM,6.89,
8/31/2020,10:46:26 AM,6.89,
8/31/2020,10:46:28 AM,6.86,
8/31/2020,10:46:30 AM,6.88,
8/31/2020,10:46:32 AM,6.92,
8/31/2020,10:46:34 AM,6.89,
8/31/2020,10:46:36 AM,6.86,
8/31/2020,10:46:38 AM,6.91,
8/31/2020,10:46:40 AM,6.86,
8/31/2020,10:46:42 AM,6.89,
8/31/2020,10:46:44 AM,6.92,
8/31/2020,10:46:46 AM,6.77,
8/31/2020,10:46:48 AM,6.8,
8/31/2020,10:46:50 AM,6.81,
8/31/2020,10:46:52 AM,6.8,
8/31/2020,10:46:54 AM,6.78,
8/31/2020,10:46:56 AM,6.81,
8/31/2020,10:46:58 AM,6.83,
8/31/2020,10:47:00 AM,6.8,
8/31/2020,10:47:02 AM,6.8,
8/31/2020,10:47:04 AM,6.8,
8/31/2020,10:47:06 AM,6.8,
8/31/2020,10:47:08 AM,6.8,
8/31/2020,10:47:10 AM,6.78,
8/31/2020,10:47:12 AM,6.77,
8/31/2020,10:47:14 AM,6.77,
8/31/2020,10:47:16 AM,6.77,
8/31/2020,10:47:18 AM,6.77,
8/31/2020,10:47:20 AM,6.77,
8/31/2020,10:47:22 AM,6.76,
8/31/2020,10:47:24 AM,6.77,
8/31/2020,10:47:26 AM,6.77,
8/31/2020,10:47:28 AM,6.8,
8/31/2020,10:47:30 AM,6.8,
8/31/2020,10:47:32 AM,6.8,
8/31/2020,10:47:34 AM,6.79,
8/31/2020,10:47:36 AM,6.81,
8/31/2020,10:47:38 AM,6.81,
8/31/2020,10:47:40 AM,6.85,
8/31/2020,10:47:42 AM,6.83,
8/31/2020,10:47:44 AM,6.82,
8/31/2020,10:47:46 AM,6.83,
8/31/2020,10:47:48 AM,6.83,
8/31/2020,10:47:50 AM,6.85,
8/31/2020,10:47:52 AM,6.86,
8/31/2020,10:47:54 AM,6.85,
8/31/2020,10:47:56 AM,6.83,
8/31/2020,10:47:58 AM,6.83,
8/31/2020,10:48:00 AM,6.83,
8/31/2020,10:48:02 AM,6.83,
8/31/2020,10:48:04 AM,6.81,
8/31/2020,10:48:06 AM,6.83,
8/31/2020,10:48:08 AM,6.83,
8/31/2020,10:48:10 AM,6.83,
8/31/2020,10:48:12 AM,6.79,
8/31/2020,10:48:14 AM,6.83,
8/31/2020,10:48:16 AM,6.8,
8/31/2020,10:48:18 AM,6.8,
8/31/2020,10:48:20 AM,6.77,
